# Biomedical Knowledge Graph Triples for Drug-MSM
# Entity types: Protein, Drug, Disease, Pathway
# Relations: targets, participates_in, associated_with, treats
# Note: participates_in is used for both Protein-Pathway and Drug-Pathway relations
# Format: head	relation	tail

# === P38α (MAPK14) Core Triples - Target Protein (PDB: 1A9U) ===
P00533	targets	DB00123
P00533	targets	DB00156
P00533	targets	DB00187
P00533	targets	DB00217
P00533	targets	DB00333
P00533	targets	DB00494
P00533	targets	DB00511
P00533	targets	DB00573
P00533	targets	DB00607
P00533	targets	DB00712
P00533	associated_with	DOID:3908
P00533	associated_with	DOID:162
P00533	associated_with	DOID:1324
P00533	associated_with	DOID:5614
P00533	associated_with	DOID:2993
P00533	participates_in	hsa04010
P00533	participates_in	hsa04020
P00533	participates_in	hsa04151
P00533	participates_in	hsa05200

# === Other MAPK Family Proteins ===
P28482	targets	DB00123
P28482	targets	DB00156
P28482	targets	DB00494
P28482	associated_with	DOID:3908
P28482	associated_with	DOID:162
P28482	participates_in	hsa04010
P28482	participates_in	hsa04020

P45983	targets	DB00123
P45983	targets	DB00156
P45983	targets	DB00187
P45983	associated_with	DOID:3908
P45983	associated_with	DOID:1324
P45983	participates_in	hsa04010
P45983	participates_in	hsa04151

P53779	targets	DB00123
P53779	targets	DB00217
P53779	associated_with	DOID:162
P53779	associated_with	DOID:5614
P53779	participates_in	hsa04010
P53779	participates_in	hsa05200

# === Inflammatory Disease Associated Proteins ===
P00533	targets	DB00807
P00533	targets	DB00882
P00533	targets	DB00945
P00533	targets	DB01032
P00533	targets	DB01149
P00533	targets	DB01228
P00533	targets	DB01377
P00533	targets	DB01436
P00533	targets	DB01594
P00533	targets	DB01647

# === Kinase Inhibitor Drugs ===
DB00123	treats	DOID:3908
DB00123	treats	DOID:162
DB00123	participates_in	hsa04010
DB00156	treats	DOID:3908
DB00156	treats	DOID:1324
DB00156	participates_in	hsa04010
DB00187	treats	DOID:3908
DB00187	treats	DOID:5614
DB00187	participates_in	hsa04020
DB00217	treats	DOID:162
DB00217	treats	DOID:2993
